sample_id,n_Na,q_Na,r_Na,I_Na,phi_Na,n_TM,q_TM,r_TM,I_TM,phi_TM,S_TM,n_O,q_O,r_O,I_O,phi_O,phi_cation,Phase_EXP
42,1,1,102,47.28636,9.803922,1,3,67,43.26717,44.776119,0,2,-4,140,280,28.571429,15.364355,1
43,1,1,102,47.28636,9.803922,1,3,64,46.709,46.875,0,2,-4,140,280,28.571429,16.08455929,1
44,1,1,102,47.28636,9.803922,1,3,61.5,49.16,48.780488,0,2,-4,140,280,28.571429,16.73840323,1
45,1,1,102,47.28636,9.803922,1,3,55,54.91,54.545455,0,2,-4,140,280,28.571429,18.71657824,1
46,1,1,102,47.28636,9.803922,1,3,69,40.33,43.478261,0,2,-4,140,280,28.571429,14.91901156,1
47,1,1,102,47.28636,9.803922,1,3,66.5,42,45.112782,0,2,-4,140,280,28.571429,15.47987663,1
48,1,1,102,47.28636,9.803922,1,3,86.1,45.249,34.843206,0,2,-4,140,280,28.571429,11.95600241,1
49,1,1,102,47.28636,9.803922,1,3,54.75,53.09,54.795663,0.693147181,2,-4,140,280,28.571429,18.80243393,1
50,1,1,102,47.28636,9.803922,1,3,57,53.065,52.647783,0.693147181,2,-4,140,280,28.571429,18.06541626,1
51,1,1,102,47.28636,9.803922,1,3,82,69.32745333,40.305011,0.636514168,2,-4,140,280,28.571429,13.83015123,1
52,1,1,102,47.28636,9.803922,1,3,75.33333333,55.09545333,46.278727,0.636514168,2,-4,140,280,28.571429,15.8799558,1
53,1,1,102,47.28636,9.803922,1,3,75,56.42878667,46.628407,0.636514168,2,-4,140,280,28.571429,15.99994404,1
54,1,1,102,47.28636,9.803922,1,3,75.66666667,53.76212,45.934641,0.636514168,2,-4,140,280,28.571429,15.76188707,1
55,1,1,102,47.28636,9.803922,1,3,75.66666667,53.09545333,45.934641,0.636514168,2,-4,140,280,28.571429,15.76188707,1
56,1,1,102,47.28636,9.803922,0.999333333,3,74.12975317,56.88498333,47.756752,0.969900759,2,-4,140,280,28.571429,16.38712126,1
57,1,1,102,47.28636,9.803922,1,3,76.5,58.10045333,45.187874,1.011404265,2,-4,140,280,28.571429,15.50564349,1
58,1,1,102,47.28636,9.803922,1,3,67.8,57.151272,51.368849,1.33217904,2,-4,140,280,28.571429,17.62656634,1
59,1,1,102,47.28636,9.803922,1,3,79.25,61.64318,49.149748,0.693147181,2,-4,140,280,28.571429,16.8651101,1
60,1,1,102,47.28636,9.803922,1,3,71.66666667,51.73666667,45.423024,0.636514168,2,-4,140,280,28.571429,15.58633222,1
61,1,1,102,47.28636,9.803922,1,3,62.66666667,51.21466667,48.87218,0.636514168,2,-4,140,280,28.571429,16.76986617,1
62,1,1,102,47.28636,9.803922,1,3,59.96,51.6464,50.451681,0.634178636,2,-4,140,280,28.571429,17.31185183,1
63,1,1,102,47.28636,9.803922,1,3,61.33333333,52.85466667,50.194932,0.636514168,2,-4,140,280,28.571429,17.22375168,1
64,1,1,102,47.28636,9.803922,1,3,58.16666667,51.76,51.68336,1.098612289,2,-4,140,280,28.571429,17.73448679,1
65,1,1,102,47.28636,9.803922,1,3,55.83333333,52.46333333,53.771821,1.098612289,2,-4,140,280,28.571429,18.45111558,1
66,1,1,102,47.28636,9.803922,1,3,56.33333333,53.68,53.28034,1.098612289,2,-4,140,280,28.571429,18.28247014,1
67,1,1,102,47.28636,9.803922,1,3,56.16666667,52.46666667,53.447146,1.098612289,2,-4,140,280,28.571429,18.33970749,1
68,1,1,102,47.28636,9.803922,1,3,56.3,53.077,53.31213,1.029653014,2,-4,140,280,28.571429,18.29337847,1
69,1,1,102,47.28636,9.803922,1,3,55.875,53.0775,53.721723,1.386294361,2,-4,140,280,28.571429,18.43392509,1
70,1,1,102,47.28636,9.803922,1,3,56.445,52.8872,53.180302,1.280931969,2,-4,140,280,28.571429,18.24814337,1
71,1,1,102,47.28636,9.803922,1,3,58.4,51.845434,51.637714,1.33217904,2,-4,140,280,28.571429,17.71882395,1
72,1,1,102,47.28636,9.803922,1,3,57,52.08464625,52.853221,1.559581156,2,-4,140,280,28.571429,18.13590969,1
73,1,1,102,47.28636,9.803922,1,3,58.125,51.0917925,51.984719,1.386294361,2,-4,140,280,28.571429,17.83789429,1
74,1,1,102,47.28636,9.803922,1,3,62.93,63.00062847,48.895275,0.933357264,2,-4,140,280,28.571429,16.77779093,1
75,1,1,102,47.28636,9.803922,1,3,67,63.21336567,47.052632,0.636514168,2,-4,140,280,28.571429,16.14551145,1
76,1,1,102,47.28636,9.803922,1,3,68.8,54.421272,49.796522,1.054920168,2,-4,140,280,28.571429,17.08704236,1
77,1,1,102,47.28636,9.803922,1,3,61.5,49.093585,49.173774,0.693147181,2,-4,140,280,28.571429,16.87335431,1
78,1,1,102,47.28636,9.803922,1,3,59.33333333,51.03239,50.964334,1.098612289,2,-4,140,280,28.571429,17.48776217,1
79,1,1,102,47.28636,9.803922,1,3,59.7,50.682151,50.563378,1.029653014,2,-4,140,280,28.571429,17.35017923,1
80,1,1,102,47.28636,9.803922,1,3,57.8,52.393717,52.052188,1.105889879,2,-4,140,280,28.571429,17.86104542,1
81,0.9,0.9,102,42.557724,8.823529,1,3.1,55.72,55.7974,55.788201,1.046605147,2,-4,140,280,28.571429,17.22870807,1
82,0.9,0.9,102,42.557724,8.823529,1,3.1,61.4,54.1141265,50.867967,0.688138814,2,-4,140,280,28.571429,15.70922413,1
83,0.9,0.9,102,42.557724,8.823529,1,3.1,60.15,55.120051,51.817805,1.054920168,2,-4,140,280,28.571429,16.00255644,1
84,0.9,0.9,102,42.557724,8.823529,1,3.1,56.75,57.8689,54.573953,0.943348392,2,-4,140,280,28.571429,16.85371974,1
85,0.85,0.85,102,40.193406,8.333333,1,3.15,65.525,45.15,48.345865,0,2,-4,140,280,28.571429,14.10087652,1
86,0.833333333,0.833333333,102,39.4053,8.169935,1,3.166666667,58.58333333,59.77483333,54.081954,1.329661349,2,-4,140,280,28.571429,15.46461148,1
87,0.8,0.8,102,37.829088,7.843137,1,3.2,61.3,59.134668,52.56216,0.673011667,2,-4,140,280,28.571429,14.42882755,1
88,0.8,0.8,102,37.829088,7.843137,1,3.2,59.9,59.569951,53.736579,1.029653014,2,-4,140,280,28.571429,14.75121706,1
89,0.8,0.8,102,37.829088,7.843137,1,3.2,54.6,58.41,58.730703,0.500402424,2,-4,140,280,28.571429,16.122153,1
90,0.8,0.8,102,37.829088,7.843137,1,3.2,61.3,59.1878,52.247531,0.500402424,2,-4,140,280,28.571429,14.34245881,1
91,0.8,0.8,102,37.829088,7.843137,1,3.2,56.1,63.7878,56.859504,0.500402424,2,-4,140,280,28.571429,15.60849055,1
92,0.8,0.8,102,37.829088,7.843137,1,3.2,57.7,62.3118,55.341367,1.054920168,2,-4,140,280,28.571429,15.19174708,1
93,0.8,0.8,102,37.829088,7.843137,1,3.2,54.55,58.046,58.780745,0.801818553,2,-4,140,280,28.571429,16.13589002,1
94,0.8,0.8,102,37.829088,7.843137,1,3.2,56,63.0598,56.959588,0.950270539,2,-4,140,280,28.571429,15.63596459,1
95,0.8,0.8,102,37.829088,7.843137,1,3.2,62.4,54.7016,53.884712,0.673011667,2,-4,140,280,28.571429,14.79188102,1
96,0.777777778,0.777777778,102,36.77828,7.625272,0.999,3.222222222,55.67256145,61.35343586,58.964955,1.151816765,2,-4,140,280,28.571429,15.73683348,1
97,0.777777778,0.777777778,102,36.77828,7.625272,1,3.222222222,55.14888889,58.25361111,58.632699,1.004746543,2,-4,140,280,28.571429,15.64815949,1
98,0.777777778,0.777777778,102,36.77828,7.625272,1,3.222222222,54.94888889,58.56111111,58.839757,1.053919751,2,-4,140,280,28.571429,15.70342007,1
99,0.777777778,0.777777778,102,36.77828,7.625272,1,3.222222222,58.79555556,62.47352918,54.989658,1.053919751,2,-4,140,280,28.571429,14.67588826,1
100,0.7,0.7,102,33.100452,6.862745,1,3.3,64.55,48.3,51.578947,0,2,-4,140,280,28.571429,12.38906044,1
101,0.7,0.7,102,33.100452,6.862745,1,3.3,71.45,61.1498,49.497241,0.647446639,2,-4,140,280,28.571429,11.88904283,1
102,0.666666667,0.666666667,102,31.52424,6.535948,1,3.333333333,64.33333333,92.91386667,53.336394,0.636514168,2,-4,140,280,28.571429,12.20113624,1
O3,1,1,102,47.28636,9.803922,1,3,61.91666667,77.968199,53.141098,1.011404265,2,-4,140,280,28.571429,18.23469102,1
